time,sensor1,sensor2
2019-04-01 12:33:48,24.62,24.19
2019-04-01 12:43:49,24.88,23.94
2019-04-01 12:53:49,25.12,24.06
2019-04-01 13:03:50,25.38,24.06
2019-04-01 13:13:51,25.62,24.25
2019-04-01 13:23:51,25.88,24.31
2019-04-01 13:33:52,26.00,24.31
2019-04-01 13:43:53,26.19,24.44
2019-04-01 13:53:53,26.56,24.56
2019-04-01 14:03:54,26.69,24.62
2019-04-01 14:13:54,26.88,24.75
2019-04-01 14:23:55,29.88,24.94
2019-04-01 14:33:56,28.06,25.06
2019-04-01 14:43:56,27.69,25.06
2019-04-01 14:53:57,27.56,24.81
2019-04-01 15:03:54,27.50,24.94
2019-04-01 15:13:55,27.56,25.19
2019-04-01 15:23:56,27.69,25.25
2019-04-01 15:33:56,27.75,25.38
2019-04-01 15:43:57,27.81,25.44
2019-04-01 15:53:57,27.81,25.44
2019-04-01 16:03:58,27.81,25.44
2019-04-01 16:13:59,27.94,25.62
2019-04-01 16:23:59,27.94,25.44
2019-04-01 16:34:00,27.88,25.38
2019-04-01 16:44:01,27.88,25.31
2019-04-01 16:54:01,27.75,25.25
2019-04-01 17:04:02,27.81,25.06
2019-04-01 17:14:03,27.81,25.06
2019-04-01 17:24:03,27.75,25.06
2019-04-01 17:34:04,27.56,24.94
2019-04-01 17:44:05,27.50,25.00
2019-04-01 17:54:05,27.44,24.88
2019-04-01 18:04:06,27.19,25.06
2019-04-01 18:14:07,26.94,24.88
2019-04-01 18:24:07,26.69,24.69
2019-04-01 18:34:08,26.56,24.62
2019-04-01 18:44:09,26.38,24.56
2019-04-01 18:54:09,26.00,24.38
2019-04-01 19:04:10,25.69,24.25
2019-04-01 19:14:11,25.38,24.12
2019-04-01 19:24:11,25.06,24.00
2019-04-01 19:34:12,24.75,23.88
2019-04-01 19:44:13,24.50,23.75
2019-04-01 19:54:13,24.25,23.62
2019-04-01 20:04:14,24.06,23.44
2019-04-01 20:14:15,23.88,23.31
2019-04-01 20:24:15,23.62,23.25
2019-04-01 20:34:16,23.50,23.06
2019-04-01 20:44:17,23.31,23.00
2019-04-01 20:54:17,23.19,22.88
2019-04-01 21:04:18,23.06,22.88
2019-04-01 21:14:19,22.94,22.81
2019-04-01 21:24:19,22.81,22.75
2019-04-01 21:34:20,22.69,22.75
2019-04-01 21:44:21,22.62,22.69
2019-04-01 21:54:21,22.50,22.62
2019-04-01 22:04:22,22.44,22.56
2019-04-01 22:14:23,22.31,22.50
2019-04-01 22:24:23,22.25,22.44
2019-04-01 22:34:24,22.19,22.44
2019-04-01 22:44:25,22.06,22.38
2019-04-01 22:54:25,22.06,22.31
2019-04-01 23:04:26,22.00,22.31
2019-04-01 23:14:27,21.94,22.31
2019-04-01 23:24:27,21.88,22.25
2019-04-01 23:34:28,21.88,22.25
2019-04-01 23:44:29,21.81,22.25
2019-04-01 23:54:29,21.81,22.19
2019-04-02 00:04:30,21.75,22.19
2019-04-02 00:14:31,21.69,22.12
2019-04-02 00:24:31,21.62,22.12
2019-04-02 00:34:32,21.62,22.06
2019-04-02 00:44:32,21.56,22.06
2019-04-02 00:54:33,21.50,22.06
2019-04-02 01:04:34,21.50,22.00
2019-04-02 01:14:34,21.44,22.00
2019-04-02 01:24:35,21.44,22.00
2019-04-02 01:34:36,21.38,21.94
2019-04-02 01:44:36,21.38,21.94
2019-04-02 01:54:37,21.31,21.88
2019-04-02 02:04:38,21.31,21.88
2019-04-02 02:14:38,21.25,21.88
2019-04-02 02:24:39,21.25,21.81
2019-04-02 02:34:40,21.19,21.81
2019-04-02 02:44:40,21.19,21.81
2019-04-02 02:54:41,21.19,21.81
2019-04-02 03:04:42,21.12,21.75
2019-04-02 03:14:42,21.12,21.75
2019-04-02 03:24:43,21.06,21.75
2019-04-02 03:34:44,21.06,21.75
2019-04-02 03:44:44,21.06,21.69
2019-04-02 03:54:45,21.00,21.69
2019-04-02 04:04:46,21.00,21.69
2019-04-02 04:14:46,20.94,21.62
2019-04-02 04:24:47,20.94,21.62
2019-04-02 04:34:48,20.94,21.62
2019-04-02 04:44:48,20.88,21.62
2019-04-02 04:54:49,20.88,21.56
2019-04-02 05:04:50,20.88,21.56
2019-04-02 05:14:50,20.81,21.56
2019-04-02 05:24:51,20.81,21.50
2019-04-02 05:34:52,20.81,21.50
2019-04-02 05:44:52,20.81,21.50
2019-04-02 05:54:53,20.88,21.50
2019-04-02 06:04:54,20.88,21.50
2019-04-02 06:14:54,20.81,21.44
2019-04-02 06:24:55,20.75,21.44
2019-04-02 06:34:56,20.75,21.38
2019-04-02 06:44:56,20.75,21.38
2019-04-02 06:54:57,20.75,21.38
2019-04-02 07:04:58,20.75,21.38
2019-04-02 07:14:58,20.75,21.31
2019-04-02 07:24:59,20.75,21.31
2019-04-02 07:35:00,20.69,21.31
2019-04-02 07:45:00,20.69,21.31
2019-04-02 07:55:01,20.69,21.31
2019-04-02 08:05:02,20.69,21.31
2019-04-02 08:15:02,20.69,21.25
2019-04-02 08:25:03,20.69,21.31
2019-04-02 08:35:04,20.69,21.31
2019-04-02 08:45:04,20.69,21.31
2019-04-02 08:55:05,20.69,21.31
2019-04-02 09:05:05,20.69,21.31
