time,sensor1,sensor2
2019-01-29 15:35:56,21.69,22.56
2019-01-29 15:45:56,21.44,21.50
2019-01-29 15:55:57,21.56,21.50
2019-01-29 16:05:58,21.38,21.50
2019-01-29 16:15:58,21.25,21.56
2019-01-29 16:25:59,21.31,21.50
2019-01-29 16:36:00,21.19,21.50
2019-01-29 16:46:00,21.12,21.50
2019-01-29 16:56:01,21.12,21.44
2019-01-29 17:06:01,21.06,21.44
2019-01-29 17:16:02,21.06,21.38
2019-01-29 17:26:03,21.06,21.31
2019-01-29 17:36:03,20.94,21.25
2019-01-29 17:46:04,20.94,21.19
2019-01-29 17:56:05,20.88,21.12
2019-01-29 18:06:05,20.88,21.06
2019-01-29 18:16:06,20.88,20.94
2019-01-29 18:26:07,20.88,20.88
2019-01-29 18:36:07,20.94,20.88
2019-01-29 18:46:08,21.00,20.88
2019-01-29 18:56:09,20.94,20.81
2019-01-29 19:06:09,20.94,20.81
2019-01-29 19:16:10,20.94,20.75
2019-01-29 19:26:11,20.94,20.69
2019-01-29 19:36:11,20.94,20.69
2019-01-29 19:46:12,20.94,20.62
2019-01-29 19:56:13,20.88,20.62
2019-01-29 20:06:13,20.88,20.62
2019-01-29 20:16:14,20.88,20.62
2019-01-29 20:26:15,20.88,20.56
2019-01-29 20:36:15,20.81,20.56
2019-01-29 20:46:16,20.88,20.50
2019-01-29 20:56:17,20.81,20.50
2019-01-29 21:06:17,20.81,20.50
2019-01-29 21:16:18,20.81,20.50
2019-01-29 21:26:19,20.75,20.50
2019-01-29 21:36:19,20.75,20.50
2019-01-29 21:46:20,20.69,20.50
2019-01-29 21:56:21,20.69,20.50
2019-01-29 22:06:21,20.75,20.44
2019-01-29 22:16:22,20.69,20.44
2019-01-29 22:26:23,20.69,20.44
2019-01-29 22:36:23,20.75,20.44
2019-01-29 22:46:24,20.75,20.38
2019-01-29 22:56:25,20.69,20.38
2019-01-29 23:06:25,20.69,20.38
2019-01-29 23:16:26,20.69,20.38
2019-01-29 23:26:27,20.69,20.38
2019-01-29 23:36:27,20.69,20.38
2019-01-29 23:46:28,20.69,20.38
2019-01-29 23:56:29,20.62,20.31
2019-01-30 00:06:29,20.69,20.31
2019-01-30 00:16:30,20.69,20.31
2019-01-30 00:26:31,20.69,20.31
2019-01-30 00:36:31,20.62,20.31
2019-01-30 00:46:32,20.69,20.31
2019-01-30 00:56:33,20.69,20.31
2019-01-30 01:06:33,20.69,20.31
2019-01-30 01:16:34,20.69,20.31
2019-01-30 01:26:34,20.69,20.31
2019-01-30 01:36:35,20.69,20.31
2019-01-30 01:46:36,20.69,20.31
2019-01-30 01:56:36,20.69,20.31
2019-01-30 02:06:37,20.69,20.31
2019-01-30 02:16:38,20.69,20.31
2019-01-30 02:26:38,20.69,20.31
2019-01-30 02:36:39,20.69,20.31
2019-01-30 02:46:40,20.69,20.31
2019-01-30 02:56:40,20.62,20.25
2019-01-30 03:06:41,20.62,20.25
2019-01-30 03:16:42,20.62,20.25
2019-01-30 03:26:42,20.62,20.25
2019-01-30 03:36:43,20.69,20.25
2019-01-30 03:46:44,20.69,20.31
2019-01-30 03:56:44,20.69,20.25
2019-01-30 04:06:45,20.69,20.25
2019-01-30 04:16:46,20.75,20.31
2019-01-30 04:26:46,20.69,20.31
2019-01-30 04:36:47,20.75,20.25
2019-01-30 04:46:48,20.69,20.31
2019-01-30 04:56:48,20.69,20.25
2019-01-30 05:06:49,20.69,20.25
2019-01-30 05:16:50,20.75,20.25
2019-01-30 05:26:50,20.69,20.31
2019-01-30 05:36:51,20.75,20.25
2019-01-30 05:46:52,20.69,20.25
2019-01-30 05:56:52,20.62,20.31
2019-01-30 06:06:53,20.69,20.31
2019-01-30 06:16:54,20.62,20.31
2019-01-30 06:26:54,20.62,20.25
